"Name","Source","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Inflict Wounds","PHB","1st","Action","Instantaneous","Necromancy","Touch","V, S","Cleric, Martyr, Necromancer","","Make a melee spell attack against a creature you can reach. On a hit, the target takes 3d10 necrotic damage."," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st."
"Influenza","HGtMH","3rd","Action","Concentration, up to 1 mniute","Biomancy","Self (30-foot cone)","V, S, M (some pollen)","Cleric, Druid, Warlock","","With a mighty sneeze that can be heard up to 300 feet away, you blast forth a 30-foot cone of phlegm, bad breath, and viral pathogens Each creature in the area must make a Dexterity saving throw On a failed save, a creature takes 3d6 poison damage and is poisoned for the duration On a successful save, the creature takes half as much damage and isn't poisoned A poisoned creature can make a Constitution saving throw at the end of each of its turns, ending the effect on itself on a successWhilst poisoned in this way, a creature must roll a d12 at the start of each of its turns On a 3 or lower, it is racked by a coughing fit and becomes incapacitated until the start of its next turn Each creature within 5 feet of a creature when it becomes incapacitated in this way must succeed on a Constitution saving throw or also become poisoned in this way for the spell's duration"," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 and the value a poisoned creature must roll on the d12 to cause a coughing fit increases by 1 for each slot level above 3rd."
"Initiative","HGtMH","1st","Reaction","Instantaneous","Enchantment","30 feet","V, S, M (a coffee bean)","Bard, Ranger, Sorcerer, Tamer, Wizard","","As a reaction when initiative is rolled, choose a willing creature you can see within range; it begins to subtly jitter as its pupils dilate. If the target is surprised, it is no longer surprised, and takes its turn on the first round as normal If the target is not surprised, it gains advantage on the initiative roll that prompted this spell"," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher you may target one additional creature for each spell slot above 1st."
"Innocuous Aspect","DMS","3rd","Action","Concentration, up to 10 minutes","Illusion (Ring)","Self (20-foot radius)","V, S, M (a paper ring)","Sorcerer, Warlock, Wizard","","An area of false vision encompasses all creatures within 20 feet of you. You and each creature in the area that you choose to affect take on the appearance of a harmless creature or object, chosen by you. Each image is identical, and only appearance is affected. Sound, movement, or physical inspection can reveal the ruse.A creature that uses its action to study the image visually can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, that creature sees through the image.",""
"Insect Plague","PHB","5th","Action","Concentration, up to 10 minutes","Conjuration","300 feet","V, S, M (a few grains of sugar, some kernels of grain, and a smear of fat)","Cleric, Druid, Martyr, Necromancer, Sorcerer, Witch","","Swarming, biting locusts fill a 20-foot-radius sphere centered on a point you choose within range. The sphere spreads around corners. The sphere remains for the duration, and its area is lightly obscured. The sphere's area is difficult terrain.When the area appears, each creature in it must make a Constitution saving throw. A creature takes 4d10 piercing damage on a failed save, or half as much damage on a successful one. A creature must also make this saving throw when it enters the spell's area for the first time on a turn or ends its turn there."," At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d10 for each slot level above 5th."
"Insightful Maneuver","DMS","1st","Bonus","Instantaneous","Divination","Touch","V, S","Cleric, Paladin, Ranger, Sorcerer, Warlock, Wizard","","With a flash of insight, you know how to take advantage of your foe's vulnerabilities. Until the end of your turn, you have advantage on all attack rolls you make against the target. Additionally, if the target has any vulnerabilities, you learn them.",""
"Inspiring Speech","DMS","4th","10 Min.","1 hour","Enchantment","60 feet","V","Bard, Cleric, Paladin","","The verbal component of this spell is a 10-minute-long, rousing speech. At the end of the speech, all your allies within the affected area who heard the speech gain a +1 bonus on attack rolls and advantage on saving throws for 1 hour against effects that cause the charmed or frightened condition. Additionally, each recipient gains temporary hit points equal to your spellcasting ability modifier. If you move farther than 1 mile from your allies or you die, this spell ends. A character can be affected by only one casting of this spell at a time; subsequent, overlapping castings have no additional effect and don't extend the spell's duration.",""
"Inspiring Speech","ToH","4th","10 Min.","1 hour","Enchantment","60 feet","V","Bard, Cleric, Paladin","","The verbal component of this spell is a 10-minute-long, rousing speech. At the end of the speech, all your allies within the affected area who heard the speech gain a +1 bonus on attack rolls and advantage on saving throws for 1 hour against effects that cause the charmed or frightened condition. Additionally, each recipient gains temporary hit points equal to your spellcasting ability modifier. If you move farther than 1 mile from your allies or you die, this spell ends. A character can be affected by only one casting of this spell at a time; subsequent, overlapping castings have no additional effect and don't extend the spell's duration.",""
"Instant Armored Vehicle","ToH","6th","Action","Instantaneous","Transmutation","60 feet","V, S, M (a diamond, metal scraps, and screws worth a combined value of at least 1,000 gp, which the spell consumes)","Wizard","","You transform a handful of materials into a Huge armored vehicle. The vehicle can take whatever form you want, but it has AC 18 and 100 hit points. If it is reduced to 0 hit points, it is destroyed. If it is a ground vehicle, it has a speed of 90 feet. If it is an airborne vehicle, it has a flying speed of 45 feet. If it is a waterborne vehicle, it has a speed of 2 miles per hour. The vehicle can hold up to four Medium creatures within it. A creature inside it has three-quarters cover from attacks outside the vehicle, which contains arrow slits, portholes, and other small openings.A creature piloting the armored vehicle can take the Careen action. To do so, the vehicle must move at least 10 feet in a straight line and enter or pass through the space of at least one Large or smaller creature. This movement doesn't provoke opportunity attacks. Each creature in the armored vehicle's path must make a Dexterity saving throw against your spell save DC. On a failed save, the creature takes 5d8 bludgeoning damage and is knocked prone. On a successful save, the creature can choose to be pushed 5 feet away from the space through which the vehicle passed. A creature that chooses not to be pushed suffers the consequences of a failed saving throw. If the creature piloting the armored vehicle isn't proficient in land, water, or air vehicles (whichever is appropriate for the vehicle's type), each target has advantage on the saving throw against the Careen action.",""
"Instant Fortification","DMS","5th","Action","Permanent","Transmutation (ritual)","60 feet","V, S, M (a statuette of a keep worth 250 gp, which is consumed in the casting)","Wizard","","Through this spell, you transform a miniature statuette of a keep into an actual fort. The fortification springs from the ground in an unoccupied space within range. It is a 10-foot cube (including floor and roof).Each wall has two arrow slits. One wall also includes a metal door with an arcane lock effect on it. You designate at the time of the fort's creation which creatures can ignore the lock and enter the fortification. The door has AC 20 and 60 hit points, and it can be broken open with a successful DC 25 Strength (Athletics) check. The walls are made of stone (AC 15) and are immune to necrotic, poison, and psychic damage. Each 5-foot-square section of wall has 90 hit points. Reducing a section of wall to 0 hit points destroys it, allowing access to the inside of the fortification."," At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, you can increase the length or width of the fortification by 5 feet for each slot level above 5th. You can make a different choice (width or length) for each slot level above 5th."
"Instant Replay","VSS","1st","Bonus","1 minute","Transmutation (chronomancy)","Self","V, S","Bard, Martyr, Paladin, Ranger","","The next time you miss a creature with an attack before this spell ends, you can instantly reset yourself to the moment before the attack and repeat it against the same target.",""
"Instant Siege Weapon","DMS","4th","Action","Permanent","Transmutation (ritual)","60 feet","V, S, M (raw materials with a value in gp equal to the hit points of the siege weapon to be created)","Wizard","","With this spell, you instantly transform raw materials into a siege engine of Large size or smaller (the GM has information on this topic). The raw materials for the spell don't need to be the actual components a siege weapon is normally built from; they just need to be manufactured goods made of the appropriate substances (typically including some form of finished wood and a few bits of worked metal) and have a gold piece value of no less than the weapon's hit points.For example, a mangonel has 100 hit points. This spell will fashion any collection of raw materials worth at least 100 gp into a mangonel. Those materials might be lumber and fittings salvaged from a small house, or 100 gp worth of finished goods such as three wagons or two heavy crossbows. The spell also creates enough ammunition for ten shots, if the siege engine uses ammunition."," At Higher Levels. When you cast this spell using a spell slot of 6th level, a Huge siege engine can be made; at 8th level, a Gargantuan siege engine can be made. In addition, for each slot level above 4th, the spell creates another ten shots' worth of ammunition."
"Instant Snare","DMS","2nd","Action","24 hours","Abjuration","120 feet","V, S, M (a loop of twine)","Ranger","","You create a snare on a point you can see within range. You can leave the snare as a magical trap, or you can use your reaction to trigger the trap when a Large or smaller creature you can see moves within 10 feet of the snare. If you leave the snare as a trap, a creature must succeed on an Intelligence (Investigation) or Wisdom (Perception) check against your spell save DC to find the trap.When a Large or smaller creature moves within 5 feet of the snare, the trap triggers. The creature must succeed on a Dexterity saving throw or be magically pulled into the air. The creature is restrained and hangs upside down 5 feet above the snare's location for 1 minute. A restrained creature can repeat the saving throw at the end of each of its turns, escaping the snare on a success. Alternatively, a creature, including the restrained target, can use its action to make an Intelligence (Arcana) check against your spell save DC. On a success, the restrained creature is freed, and the snare resets itself 1 minute later. If the creature succeeds on the check by 5 or more, the snare is destroyed instead.This spell alerts you with a ping in your mind when the trap is triggered if you are within 1 mile of the snare. This ping awakens you if you are sleeping."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can create one additional snare for each slot level above 2nd. When you receive the mental ping that a trap was triggered, you know which snare was triggered if you have more than one."
"Instant Snare","ToH","2nd","Action","24 hours","Abjuration","120 feet","V, S, M (a loop of twine)","Druid","","You create a snare on a point you can see within range. You can leave the snare as a magical trap, or you can use your reaction to trigger the trap when a Large or smaller creature you can see moves within 10 feet of the snare. If you leave the snare as a trap, a creature must succeed on an Intelligence (Investigation) or Wisdom (Perception) check against your spell save DC to find the trap.When a Large or smaller creature moves within 5 feet of the snare, the trap triggers. The creature must succeed on a Dexterity saving throw or be magically pulled into the air. The creature is restrained and hangs upside down 5 feet above the snare's location for 1 minute. A restrained creature can repeat the saving throw at the end of each of its turns, escaping the snare on a success. Alternatively, a creature, including the restrained target, can use its action to make an Intelligence (Arcana) check against your spell save DC. On a success, the restrained creature is freed, and the snare resets itself 1 minute later. If the creature succeeds on the check by 5 or more, the snare is destroyed instead.This spell alerts you with a ping in your mind when the trap is triggered if you are within 1 mile of the snare. This ping awakens you if you are sleeping."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can create one additional snare for each slot level above 3rd. When you receive the mental ping that a trap was triggered, you know which snare was triggered if you have more than one."
"Intellect Fortress","TCE","3rd","Action","Concentration, up to 1 hour","Abjuration","30 feet","V","Artificer","Bard, Sorcerer, Warlock, Wizard","For the duration, you or one willing creature you can see within range has resistance to psychic damage, as well as advantage on Intelligence, Wisdom, and Charisma saving throws."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you can target one additional creature for each slot level above 3rd. The creatures must be within 30 feet of each other when you target them."
"Intensify Gravity","VSS","4th","Action","Concentration, up to 1 minute","Transmutation","100 feet","V, S, M (a lodestone and iron filings)","Cleric, Druid, Sorcerer, Wizard","","This spell intensifies gravity in a 50-foot radius, 100-foot high cylinder centered on a point within range. Each creature in this area must spend two feet of movement for every foot moved, including flying, jumping, and climbing movement. This can be combined with difficult terrain to slow movement to a quarter of normal speed. If a prone creature wishes to stand up, it must succeed on a Strength check against your spell save DC. On a failure, it can't move at all on its turn.Objects in the area, including those being worn or carried, weigh double their usual weight, which may cause creatures to become encumbered or cause load-bearing spells like levitate to fail. Any ranged weapon attacks that pass into, out of, or through the area have disadvantage, and any falling damage dealt within the spell's area is doubled.",""
"Intrusive Thought","VSS","2nd","Reaction","Instantaneous","Enchantment","60 feet","V, S","Bard, Sorcerer, Wizard","","As a reaction when a creature you can see within range uses its action to attack, or takes the Dash, Dodge, or Disengage actions, you can attempt to distort its thinking. The target makes a Wisdom saving throw. A target automatically succeeds on this saving throw if it can't be charmed. On a failed save, the creature takes an action of your choice from among those options, instead of the action it intended to take.",""
"Invested Champion","DMS","3rd","Action","Concentration, up to 1 hour","Evocation (ritual)","Touch","V, S, M (a vial of holy water, which is consumed)","Cleric, Paladin","","You touch one creature and choose either to become its champion, or for it to become yours. If you choose a creature to become your champion, it fights on your behalf. While this spell is in effect, you can cast any spell with a range of touch on your champion as if the spell had a range of 60 feet. Your champion's attacks are considered magical, and you can use a bonus action on your turn to encourage your champion, granting it advantage on its next attack roll.If you become the champion of another creature, you gain advantage on all attack rolls against creatures that have attacked your charge within the last round. If you are wielding a shield, and a creature within 5 feet of you attacks your charge, you can use your reaction to impose disadvantage on the attack roll, as if you had the Protection fighting style. If you already have the Protection fighting style, then in addition to imposing disadvantage, you can also push an enemy 5 feet in any direction away from your charge when you take your reaction. You can use a bonus action on your turn to reroll the damage for any successful attack against a creature that is threatening your charge.Whichever version of the spell is cast, if the distance between the champion and its designated ally increases to more than 60 feet, the spell ends.",""
"Invested Champion","ToH","3rd","Action","Concentration, up to 1 hour","Enchantment (ritual)","Touch","V, S, M (a vial of holy water)","Cleric, Paladin","","You touch one creature and choose either to become its champion, or for it to become yours. If you choose a creature to become your champion, it fights on your behalf. While this spell is in effect, you can cast any spell with a range of touch on your champion as if the spell had a range of 60 feet. Your champion's attacks are considered magical, and you can use a bonus action on your turn to encourage your champion, granting it advantage on its next attack roll.If you become the champion of another creature, you gain advantage on all attack rolls against creatures that have attacked your charge within the last round. If you are wielding a shield, and a creature within 5 feet of you attacks your charge, you can use your reaction to impose disadvantage on the attack roll, as if you had the Protection fighting style. If you already have the Protection fighting style, then in addition to imposing disadvantage, you can also push an enemy 5 feet in any direction away from your charge when you take your reaction. You can use a bonus action on your turn to reroll the damage for any successful attack against a creature that is threatening your charge.Whichever version of the spell is cast, if the distance between the champion and its designated ally increases to more than 60 feet, the spell ends.",""
"Investiture of Blight","DMS","6th","Action","Concentration, up to 10 minutes","Transmutation (Apocalypse)","Self","V, S, M (a vial of ectoplasm or ghostly essence)","Cleric, Druid, Sorcerer, Warlock, Wizard","","Ghostly spirits emerge from your body and whirl around you. Your body emits dim light in a 15-foot radius for the spell's duration. Until the spell ends, you gain the following benefits: • You have immunity to necrotic damage and resistance to poison damage. • Creatures that miss on melee attacks against you become frightened of you until the end of their next turn. • You can use an action to direct the ghostly spirits to assail a creature you can see within 15 feet of you. The target must make a successful Constitution saving throw or take 2d10 necrotic damage and gain one level of exhaustion.",""
"Investiture of Flame","XGE","6th","Action","Concentration, up to 10 minutes","Transmutation","Self","V, S","Druid, Sorcerer, Warlock, Wizard","","Flames race across your body, shedding bright light in a 30-foot radius and dim light for an additional 30 feet for the spell's duration. The flames don't harm you. Until the spell ends, you gain the following benefits:You are immune to fire damage and have resistance to cold damage.Any creature that moves within 5 feet of you for the first time on a turn or ends its turn there takes 1d10 fire damage.You can use your action to create a line of fire 15 feet long and 5 feet wide extending from you in a direction you choose. Each creature in the line must make a Dexterity saving throw. A creature takes 4d8 fire damage on a failed save, or half as much damage on a successful one.",""
"Investiture of Ice","XGE","6th","Action","Concentration, up to 10 minutes","Transmutation","Self","V, S","Druid, Sorcerer, Warlock, Wizard","","Until the spell ends, ice rimes your body, and you gain the following benefits:You are immune to cold damage and have resistance to fire damage.You can move across difficult terrain created by ice or snow without spending extra movement.The ground in a 10-foot radius around you is icy and is difficult terrain for creatures other than you. The radius moves with you.You can use your action to create a 15-foot cone of freezing wind extending from your outstretched hand in a direction you choose. Each creature in the cone must make a Constitution saving throw. A creature takes 4d6 cold damage on a failed save, or half as much damage on a successful one. A creature that fails its save against this effect has its speed halved until the start of your next turn.",""
"Investiture of Stone","XGE","6th","Action","Concentration, up to 10 minutes","Transmutation","Self","V, S","Druid, Sorcerer, Warlock, Wizard","","Until the spell ends, bits of rock spread across your body, and you gain the following benefits:You have resistance to bludgeoning, piercing, and slashing damage from nonmagical attacks.You can use your action to create a small earthquake on the ground in a 15-foot radius centered on you. Other creatures on that ground must succeed on a Dexterity saving throw or be knocked prone.You can move across difficult terrain made of earth or stone without spending extra movement. You can move through solid earth or stone as if it was air and without destabilizing it, but you can't end your movement there. If you do so, you are ejected to the nearest unoccupied space, this spell ends, and you are stunned until the end of your next turn.",""
"Investiture of Wind","XGE","6th","Action","Concentration, up to 10 minutes","Transmutation","Self","V, S","Druid, Sorcerer, Warlock, Wizard","","Until the spell ends, wind whirls around you, and you gain the following benefits:Ranged weapon attacks made against you have disadvantage on the attack roll.You gain a flying speed of 60 feet. If you are still flying when the spell ends, you fall, unless you can somehow prevent it.You can use your action to create a 15-foot cube of swirling wind centered on a point you can see within 60 feet of you. Each creature in that area must make a Constitution saving throw. A creature takes 2d10 bludgeoning damage on a failed save, or half as much damage on a successful one. If a Large or smaller creature fails the save, that creature is also pushed up to 10 feet away from the center of the cube.",""
"Invisibility","PHB","2nd","Action","Concentration, up to 1 hour","Illusion","Touch","V, S, M (an eyelash encased in gum arabic)","Artificer, Bard, Necromancer, Sorcerer, Tamer, Warlock, Witch, Wizard","","A creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target's person. The spell ends for a target that attacks or casts a spell."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd."
"Invisibility Purge","VSS","4th","Action","Instantaneous","Abjuration","Self (120-foot radius)","V, S, M (powdered silver worth at least 100 gp)","Bard, Investigator, Sorcerer, Witch, Wizard","","You purge magical invisibility effects within 120 feet of you. Any creature, object, location or effect within 120 feet of you that is hidden by magical invisibility is revealed and the effect dispelled.This spell applies to innate abilities that are magical in nature, such as an imp's Invisibility, but it does not affect creatures on other planes of existence, such as the Ethereal Plane. It also does not reveal creatures that are naturally invisible. Items that grant magical invisibility (such as a ring of invisibility) have their effects suppressed for 1 minute.",""
"Invulnerability","XGE","9th","Action","Concentration, up to 10 minutes","Abjuration","Self","V, S, M (a small piece of adamantine worth at least 500 gp, which the spell consumes)","Wizard","","You are immune to all damage until the spell ends.",""
"Ire of the Mountain","DMS","3rd","Action","Instantaneous","Transmutation","30 feet","V, S, M (a piece of coal)","Sorcerer, Warlock, Wizard","","This spell melts nonmagical objects that are made primarily of metal. Choose one metal object weighing 10 pounds or less that you can see within range. Tendrils of blistering air writhe toward the target. A creature holding or wearing the item must make a Dexterity saving throw. On a successful save, the creature takes 1d8 fire damage and the spell has no further effect. On a failed save, the targeted object melts and is destroyed, and the creature takes 4d8 fire damage if it is wearing the object, or 2d8 fire damage if it is holding the object. If the object is not being held or worn by a creature, it is automatically melted and rendered useless. This spell cannot affect magic items."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you can target one additional object for each slot level above 3rd."
"Iron Gut","ToH","3rd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S, M (a bezoar)","Bard, Cleric, Sorcerer, Wizard",""," For the duration, one willing creature you touch has resistance to poison damage and advantage on saving throws against poison. When the affected creature makes a Constitution saving throw against an effect that deals poison damage or that would cause the creature to become poisoned, the creature can choose to succeed on the saving throw. If it does so, the spell ends on the creature.While affected by this spell, a creature can't gain any benefit from consuming magical foodstuffs, such as those produced by the goodberry and heroes' feast spells, and it doesn't suffer ill effects from consuming potentially harmful, nonmagical foodstuffs, such as spoiled food or non-potable water. The creature is affected normally by other consumable magic items, such as potions. The creature can identify poisoned food by a sour taste, with deadlier poisons tasting more sour."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you can target one additional creature for each slot level above 3rd."
"Iron Hand","DMS","Cantrip","Bonus","Concentration, up to 1 hour","Abjuration","Self","V, S","Bard, Cleric, Druid","","This spell is common among metalsmiths and other crafters who work with heat. When you use this spell, one of your arms becomes immune to fire damage, allowing you to grasp red-hot metal, scoop up molten glass with your fingers, or reach deep into a roaring fire to pick up an object. In addition, if you take the Dodge action while you're protected by iron hand, you have resistance to fire damage until the start of your next turn.",""
"Iron Mind","DMS","3rd","Action","Concentration, up to 1 hour","Abjuration","Touch","V, S","Bard, Cleric, Paladin","","One willing creature you touch becomes immune to psychic damage and mind‑altering effects for the spell's duration.",""
"Iron Stomach","DMS","2nd","Action","24 hours","Transmutation","Touch","V, S","Druid","","You subtly alter the digestive system of the creature you touch, allowing it to safely eat and extract nutrition from any organic matter it eats. As long as the creature eats at least 1 pound of organic matter per day, it does not suffer from hunger. If it eats organic matter that is poisonous, or that has been poisoned with an organic substance (serpent venom, for example), it has advantage on the saving throw."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can affect one additional creature for each slot level above 2nd."
"Jagged Forcelance","ToH","3rd","Action","Concentration, up to 1 minute","Evocation","60 feet","V, S, M (a strand of gold wire)","Bard, Sorcerer, Warlock, Wizard","","You create a magical tether of pulsing, golden force between two willing creatures you can see within range. The two creatures must be within 15 feet of each other. The tether remains as long as each tethered creature ends its turn within 15 feet of the other tethered creature. If a tethered creature ends its turn more than 15 feet away from its tethered partner, the spell ends. Though the tether appears as a thin line, its effect extends the full height of the tethered creatures and can affect prone or hovering creatures, provided the hovering creature hovers no higher than the tallest tethered creature.Any creature that touches the tether or ends its turn in a space the tether passes through must make a Strength saving throw. On a failure, a creature takes 3d6 force damage and is knocked prone. On a success, a creature takes half as much damage and isn't knocked prone. A creature that makes this saving throw, whether it succeeds or fails, can't be affected by the tether again until the start of your next turn."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the maximum distance between the tethered creatures increases by 5 feet, and the damage increases by 1d6 for each slot level above 3rd."
"Jam Weapon","VSS","2nd","Reaction","Instantaneous","Transmutation (renaissance)","60 feet","V, S, M (a pinch of wet gunpowder)","Bard, Witch, Wizard","","The firearm you target jams upon firing. The attack fails, and the firearm is jammed. A jammed firearm can't be used to make an attack until a creature uses its action to clear the weapon malfunction."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can jam one additional firearm within range for each slot level above 2nd."
"Jarring Growl","ToH","1st","Bonus","Instantaneous","Enchantment","Self","V","Paladin, Warlock","","You loose a growl from deep within the pit of your stomach, causing others who can hear it to become unnerved. You have advantage on Charisma (Intimidation) checks you make before the beginning of your next turn. In addition, each creature within 5 feet of you must make a Wisdom saving throw. On a failure, you have advantage on attack rolls against that creature until the end of your turn. You are aware of which creatures failed their saving throws.",""
"Jerilyn's Cadaverous Uprising","DMS","2nd","Action","1 hour","Necromancy (Apocalypse)","30 feet","V, S, M (the severed hand of a humanoid creature)","Cleric, Wizard","","Specify a 5-foot-square space of natural ground (not solid stone) that you can see within range, then choose any undead creature of challenge rating 1 or lower (such as a specter, ghoul, shadow, zombie, or skeleton). That creature claws its way up out of the ground and immediately tries to grapple or attack a creature within 5 feet. The undead uses its standard stat block, but it has only 10 hit points and is prone until it stands up. It takes its turn immediately after yours. You can use a bonus action to issue a mental command to the undead when you cast the spell, and you can change the command by using a bonus action on your turn while the spell is active. Once given an order, the creature continues to follow it until its task is complete. If you issue no command, the creature defends itself and attacks the last enemy that attacked it.The creature remains under your control for 1 hour, after which it crumbles to dust or disappears."," At Higher Levels. The number of undead you summon increases when you cast this spell with a higher-level spell slot: two when cast with a 5th-level slot, three with a 7th-level slot, and four with a 9th-level slot."
"Jethro's Instant Reload","VSS","2nd","Action","1 hour","Conjuration (renaissance) (ritual)","Touch","V, S, M (a spent bullet casing)","Bard, Investigator, Ranger, Wizard","","One ranged weapon you touch becomes enchanted to reload itself automatically. If the weapon has the Loading property, you can ignore this for the duration. When the weapon's ammunition is depleted, new ammunition teleports from your person to your hand or into the weapon, as appropriate. If the weapon takes an action or longer to reload, it reloads itself at the end of your turn.If you are not carrying sufficient ammunition for the weapon to reload, the spell ends.",""
"Jeweled Fissure","DMS","3rd","Action","Instantaneous","Conjuration","100 feet","V, S, M (a shard of jasper)","Wizard","","With a sweeping gesture, you cause jagged crystals to burst from the ground and hurtle directly upward. Choose an origin point within the spell's range that you can see. Starting from that point, the crystals burst out of the ground along a 30-foot line that is 5 feet wide. Each creature in that line and up to 100 feet above it takes 2d8 thunder damage plus 2d8 piercing damage; a successful Dexterity saving throw negates the piercing damage.On a failed save, a creature is impaled by a chunk of crystal that halves the creature's speed, prevents it from flying, and causes it to fall to the ground if it was flying. To remove a crystal, the creature or an ally within 5 feet of it must use an action and make a DC 13 Strength check. On a successful check, the impaled creature takes 1d8 piercing damage and its speed and flying ability are restored to normal.",""
"Jim's Glowing Coin","AI","2nd","Action","1 minute","Enchantment","60 feet","S, M (a coin), R (2 gp)","Wizard","","Of the many tactics employed by master magician and renowned adventurer Jim Darkmagic, the old glowing coin trick is a time-honored classic. When you cast the spell, you hurl the coin that is the spell's material component to any spot within range. The coin lights up as if under the effect of a light spell. Each creature of your choice that you can see within 30 feet of the coin must succeed on a Wisdom saving throw or be distracted for the duration. While distracted, a creature has disadvantage on Wisdom (Perception) checks and initiative rolls.",""
"Jim's Magic Missile","AI","1st","Action","Instantaneous","Evocation","120 feet","V, S, R (1 gp)","Wizard","","“Jim's magic missile is an ancient and powerful spell, as well as being the name of my band in Wizard Academy.”— Jim DarkmagicAny apprentice wizard can cast a boring old magic missile. Sure, it always strikes its target. Yawn. Do away with the drudgery of your grandfather's magic with this improved version of the spell, as used by Jim Darkmagic!You create three twisting, whistling, hypoallergenic, gluten-free darts of magical force. Each dart targets a creature of your choice that you can see within range. Make a ranged spell attack for each missile. On a hit, a missile deals 2d4 force damage to its target.If the attack roll scores a critical hit, the target of that missile takes 5d4 force damage instead of you rolling damage twice for a critical hit. If the attack roll for any missile is a 1, all missiles miss their targets and blow up in your face, dealing 1 force damage per missile to you."," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the spell creates one more dart, and the royalty component increases by 1 gp, for each slot level above 1st."
"Jump","PHB","1st","Action","1 minute","Transmutation","Touch","V, S, M (a grasshopper's hind leg)","Artificer, Druid, Ranger, Sorcerer, Tamer, Wizard","","You touch a creature. The creature's jump distance is tripled until the spell ends.",""
"Kareef's Entreaty","DMS","1st","Reaction","Instantaneous","Abjuration","60 feet","V","Cleric","","Your kind words offer hope and support to a fallen comrade. Choose a willing creature you can see within range that is about to make a death saving throw. The creature gains advantage on the saving throw, and if the result of the saving throw is 18 or higher, the creature regains 3d4 hit points immediately."," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the creature adds 1 to its death saving throw for every two slot levels above 1st and regains an additional 1d4 hit points for each slot level above 1st if its saving throw result is 18 or higher."
"Kavelin's Instant Aerosol","DMS","2nd","Action","Instantaneous","Transmutation","5 feet","V, S, M (a candle made with rare herbs and powdered gemstones, worth 50 gp)","Wizard","","You light a specially prepared candle and place it beneath an open potion as you cast this spell. The potion is vaporized into a cloud that extends out five feet from you in all directions. All creatures in range, including yourself, that breathe in the magical vapors can benefit from the effects of the potion. The duration is divided equally among those partaking, rounding down any fractions. If the spell is used with a potion of healing, all creatures in the area receive the average number of hit points that would be healed by a potion of that type.",""
"Keening Wail","DMS","4th","Action","Instantaneous","Necromancy","Self (15-foot cone)","V, S, M (a ringed lock of hair from an undead creature)","Bard, Cleric, Warlock","","You emit an unholy shriek from beyond the grave. Each creature in a 15-foot cone must make a Constitution saving throw. A creature takes 6d6 necrotic damage on a failed save, or half as much damage on a successful one. If a creature with 50 hit points or fewer fails the saving throw by 5 or more, it is instead reduced to 0 hit points. This wail has no effect on constructs and undead."," At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d6 for each slot level above 4th."
"Killing Fields","DMS","5th","10 Min.","24 hours","Transmutation","300 feet","V, S, M (a game animal, which must be sacrificed as part of casting the spell)","Ranger","","You invoke primal spirits of nature to transform natural terrain in a 100-foot cube in range into a private hunting preserve. The area can't include manufactured structures and if such a structure exists in the area, the spell ends.While you are conscious and within the area, you are aware of the presence and direction, though not exact location, of each beast and monstrosity with an Intelligence of 3 or lower in the area. When a beast or monstrosity with an Intelligence of 3 or lower tries to leave the area, it must make a Wisdom saving throw. On a failure, it is disoriented, uncertain of its surroundings or direction, and remains within the area for 1 hour. On a success, it leaves the area.When you cast this spell, you can specify individuals that are helped by the area's effects. All other creatures in the area are hindered by the area's effects. You can also specify a password that, when spoken aloud, gives the speaker the benefits of being helped by the area's effects.This spell creates the following effects within the area:Pack Hunters. A helped creature has advantage on attack rolls against a hindered creature if at least one helped ally is within 5 feet of the hindered creature and the helped ally isn't incapacitated.Slaying. Once per turn, when a helped creature hits with any weapon, the weapon deals an extra 1d6 damage of the same type dealt by its weapon to a hindered creature.Tracking. A helped creature has advantage on Wisdom (Survival) and Dexterity (Stealth) checks against a hindered creature.You can create a permanent killing field by casting this spell in the same location every day for one year. Structures built in the area after the killing field is permanent don't end the spell.",""
